codigo,estado,created_at
GL-HP83ASMJN,COMPLETADO,2026-08-31T20:36:35.368Z
GL-HPCA49GXD,COMPLETADO,2026-08-31T20:39:51.106Z
GL-HPNRB9AB6,COMPLETADO,2026-08-31T20:48:46.140Z
GL-HPQZSW9ZU,COMPLETADO,2026-08-31T20:51:17.153Z
GL-UBL17GO30,CANCELADO,2026-09-09T16:35:40.268Z
GL-UBK2FOTHY,CANCELADO,2026-09-09T16:34:55.568Z
GL-P0XZPN3HC,NUEVO,2026-09-05T23:38:58.924Z
GL-Q4Z668FBZ,NUEVO,2026-09-06T18:19:38.640Z
GL-TJEU9N2VB,NUEVO,2026-09-09T03:27:02.380Z
GL-UAJOEMT1U,NUEVO,2026-09-09T16:06:38.022Z
GL-UBJ6WSF26,NUEVO,2026-09-09T16:34:14.485Z
GL-VN6WGRTAW,NUEVO,2026-09-10T14:48:22.959Z
GL-VYPV5DQQG,NUEVO,2026-09-10T20:11:04.190Z
GL-VZE8F7G70,NUEVO,2026-09-10T20:29:58.241Z
GL-KUDYH8NG1,NUEVO,2026-09-03T01:24:21.458Z
GL-NXMGEK1ZR,NUEVO,2026-09-05T05:18:15.618Z
GL-X1IRBMYUP,NUEVO,2026-09-11T14:17:17.208Z
GL-XU402A715,NUEVO,2026-09-12T03:37:37.493Z
GL-YJGH2YWY5,NUEVO,2026-09-12T15:27:09.948Z
GL-19Z0714K3,NUEVO,2026-09-14T13:24:57.415Z
GL-95AIPKBOJ,NUEVO,2026-09-20T01:36:03.997Z
GL-3MAFAOLGG,NUEVO,2026-09-16T04:45:17.026Z
GL-BT2XBYSLG,COMPLETADO,2026-09-21T22:17:42.814Z
GL-7F0TD8UVY,NUEVO,2026-09-18T20:32:56.661Z
GL-AAC8F7PS1,NUEVO,2026-09-20T20:45:09.493Z
GL-BTG29RSMS,COMPLETADO,2026-09-21T22:27:55.592Z
GL-BUKD782CD,COMPLETADO,2026-09-21T22:59:16.404Z
GL-D25N7RSWC,NUEVO,2026-09-22T19:19:24.124Z
GL-CRES259XQ,COMPLETADO,2026-09-22T14:18:43.689Z
